feature,importance,sd
ketones,0.11527328069378162,0.006712856689243373
sulfur,0.025967109747784503,0.0077119240168081965
amines,0.019286573127319476,0.0047447952538048725
hazard,0.016980042414602617,0.0049366213153820265
distance_to_source,0.009440326062258517,0.001425812295737361
bio_avoidance,0.006351539422858377,0.0027081417871960664
bio_attraction,0.006156271301976782,0.001883284604222434
bio_stress,0.004817797091570042,0.002235210228837359
sensor_MOS_1,0.0034710387790653358,0.002519238619654045
alcohols,0.0024970650609709155,0.0010682998471024164
acids,0.00232428236006961,0.0030799148514782247
terpenes,0.0015408429902294407,0.001087869460602123
bio_metabolic_shift,0.0015372926607588322,0.0007692480656424994
airflow,0.0013479417556615247,0.00092265997983132
aldehydes,0.0013467583125046506,0.0009204449309821784
sensor_EC_2,0.0009597724002119723,0.002167592043746528
sensor_MOS_3,0.0007668711656441118,0.0013282598217552663
sensor_MOS_2,0.00038461902597886066,0.001490859866793609
humidity,0.0,0.0
sensor_IR_1,-2.7755575615628914e-17,0.0007668711656441674
sensor_QCM_1,-1.18344315694352e-06,0.002035221874533058
temperature,-0.00019290123456791597,0.0005103686942640417
sensor_PID_1,-0.0009467545254867177,0.0007455804596227409
sensor_EC_1,-0.0013491251988185377,0.000920934751897877
